Date,Price,Signal,Year,Open,High,Low,Close,Adj Close,Volume,SMA5,SMA20,EMA10,RSI14,MACD,MACD_signal,BB_upper,BB_middle,BB_lower,ATR14,Momentum10,Rate_of_Change10,WilliamsR14,Bullish_Engulfing,Bearish_Engulfing,Hammer,Shooting_Star,Morning_Star,Evening_Star
2022-10-13,141.81,BUY,2022.0,134.99000549316406,143.58999633789062,134.3699951171875,142.99000549316406,141.58676147460938,113224000,140.16399841308595,146.6609977722168,142.68239826252585,39.797057305823984,-4.4062863195634066,-4.196698077010135,158.5269812884486,146.6609977722168,134.795014255985,4.385003226143973,0.510009765625,0.0035795183949912444,-57.64123935821628,True,False,False,False,True,False
2022-10-27,147.54,SELL,2022.0,148.07000732421875,149.0500030517578,144.1300048828125,144.8000030517578,143.37899780273438,109180200,148.64200134277343,143.71999969482422,146.30304405111198,56.90414340309014,-0.8186785804647343,-2.0795848115304088,151.75715380839904,143.71999969482422,135.6828455812494,4.3600006103515625,1.80999755859375,0.012658210287853166,-42.439282769957046,False,False,False,False,False,False
2022-10-31,153.34,BUY,2022.0,153.16000366210938,154.24000549316406,151.9199981689453,153.33999633789062,151.8351593017578,97943200,151.11400146484374,145.14150009155273,148.9863354252117,65.71803646676254,0.4735179128639402,-1.2341037684117915,155.10309518273903,145.14150009155273,135.17990500036643,4.756429399762835,10.92999267578125,0.07675017481015178,-17.98531251154469,False,False,False,False,False,False
2022-11-02,148.42,SELL,2022.0,148.9499969482422,152.1699981689453,145.0,145.02999877929688,143.60670471191406,93604600,149.91199951171876,145.3004997253418,148.51448787374707,52.09444909031606,0.26894240909453515,-0.637780418733508,155.5470017528861,145.3004997253418,135.0539976977975,4.904285975864956,1.1699981689453125,0.0081328942303725,-64.57795337811142,False,False,False,False,False,False
2022-11-11,147.39,BUY,2022.0,145.82000732421875,150.00999450683594,144.3699951171875,149.6999969482422,148.476806640625,93979700,141.9719970703125,145.425,143.94417373706287,50.210757047960605,-1.2068210178959475,-1.4023520227178987,156.6628009616564,145.425,134.18719903834364,5.301427568708148,-6.040008544921875,-0.038782639860552665,-33.73704454616973,False,False,False,False,False,False
2022-11-28,144.62,SELL,2022.0,145.13999938964844,146.63999938964844,143.3800048828125,144.22000122070312,143.04156494140625,69246000,148.31799926757813,146.3424980163574,147.8612096586132,56.598606268334954,0.5301846118337039,0.4118528613865993,157.08303692289627,146.3424980163574,135.60195910981855,3.791428702218192,-5.4799957275390625,-0.03660651863228652,-49.31576377467105,False,False,False,False,False,False
2022-12-01,148.31,BUY,2022.0,148.2100067138672,149.1300048828125,146.61000061035156,148.30999755859375,147.09815979003906,71250400,145.96799926757814,145.76699829101562,147.15350917504026,52.17260380944663,0.17813469555812844,0.25399779408582274,156.08370316598663,145.76699829101562,135.45029341604462,3.7828576224190846,-0.4799957275390625,-0.003225994685112994,-39.87917427301728,False,False,True,False,False,False
2022-12-06,146.11,SELL,2022.0,147.07000732421875,147.3000030517578,141.9199981689453,142.91000366210938,141.7422637939453,64727200,146.73800048828124,146.82549819946288,146.38398921572042,39.040906014249344,-0.19628939069161788,0.14325308317544744,155.37696764042445,146.82549819946288,138.27402875850132,3.7371433803013394,-5.0999908447265625,-0.034457070697958954,-79.27125946261842,False,False,False,False,False,False
2022-12-21,133.45,BUY,2022.0,132.97999572753906,136.80999755859375,132.75,135.4499969482422,134.34324645996094,85928000,134.2259979248047,142.41550064086914,137.86259884636195,27.979425694053603,-3.189072295006838,-2.0026087786626467,153.57290279414977,142.41550064086914,131.2580984875885,4.214285714285714,-5.4900054931640625,-0.03895278414974097,-73.56158877162025,False,False,False,False,False,False
2022-12-27,130.92,SHORT,2022.0,131.3800048828125,131.41000366210938,128.72000122070312,130.02999877929688,128.96751403808594,69007800,132.3739990234375,139.95149993896484,134.85998023463458,27.96027071061536,-3.9362304517183873,-2.8433754843978214,152.33034376379274,139.95149993896484,127.57265611413695,3.9892850603376115,-14.460006713867188,-0.10007617249728254,-93.83530560661765,False,False,False,False,False,False
2022-12-30,129.93,BUY,2022.0,128.41000366210938,129.9499969482422,127.43000030517578,129.92999267578125,128.8683319091797,77034200,129.4939987182617,137.35499992370606,132.10912403287202,31.430277294971177,-4.41642668310493,-3.6181275160548356,150.78967101140486,137.35499992370606,123.92032883600726,3.9871406555175772,-6.57000732421875,-0.04813192178914835,-83.15356769188645,False,False,False,False,False,False
2023-01-05,125.42,SHORT,2023.0,127.12999725341795,127.7699966430664,124.76000213623048,125.0199966430664,123.99845123291016,80962700,127.197998046875,134.30999946594238,129.10819735461823,23.902412006330323,-4.916453171720178,-4.208036584100073,147.8409508931513,134.30999946594238,120.77904803873345,3.890711648123603,-7.280006408691406,-0.05502650219776151,-95.17868270728759,False,False,False,False,False,False
2023-01-06,129.62,BUY,2023.0,126.01000213623048,130.2899932861328,124.88999938964844,129.6199951171875,128.5608673095703,87754700,127.19999694824219,133.74399909973144,129.20125149326716,39.4929594663055,-4.584079379470268,-4.2832451431741125,147.05243444642818,133.74399909973144,120.4355637530347,3.8642823355538485,-5.8300018310546875,-0.043041727297213846,-59.56974276254358,False,False,False,False,True,False
2023-02-09,151.38,SELL,2023.0,153.77999877929688,154.3300018310547,150.4199981689453,150.8699951171875,149.63722229003906,56007100,152.73399658203124,143.75299911499025,149.2158056783616,69.5195266749391,4.478676305780311,3.460247044613805,157.62559090894013,143.75299911499025,129.88040732104037,3.945714678083147,6.9099884033203125,0.047999361496658614,-33.41892245437641,False,False,False,False,False,False
2023-02-13,151.55,BUY,2023.0,150.9499969482422,154.25999450683594,150.9199981689453,153.85000610351562,152.82589721679688,62199000,152.45999755859376,145.58749923706054,150.32529169708823,67.90007759688996,4.453376721009164,3.8036902729364725,158.67494477690911,145.58749923706054,132.50005369721197,3.7442844935825894,10.850006103515625,0.07587416855605332,-19.009140479406806,False,False,False,False,False,False
2023-02-21,149.66,SHORT,2023.0,150.1999969482422,151.3000030517578,148.41000366210938,148.47999572753906,147.4916229248047,58867200,152.65400085449218,149.48099899291992,151.46530501739002,56.488072735520944,3.6280058369879953,4.028571321918642,158.64911914371038,149.48099899291992,140.31287884212946,3.6492843627929688,-3.25,-0.02141962757209861,-55.41725098526567,False,False,False,False,False,True
2023-02-27,147.92,BUY,2023.0,147.7100067138672,149.1699981689453,147.4499969482422,147.9199981689453,146.9353485107422,44998500,148.28399963378905,150.41399917602538,149.60746331743195,42.10526981428925,2.0028713161430574,3.1157311361303317,157.563668866418,150.41399917602538,143.26432948563277,2.857140677315848,-3.089996337890625,-0.020462197538526145,-79.26487444217696,False,False,False,True,False,False
2023-03-07,151.86,SELL,2023.0,153.6999969482422,154.02999877929688,151.1300048828125,151.60000610351562,150.59085083007812,56182000,149.53600158691407,150.68000030517578,149.90618996711277,47.05450749652941,1.4778969589845588,1.7829187847891912,156.7377400515383,150.68000030517578,144.62226055881325,2.608569553920201,3.1200103759765625,0.02101300152043232,-38.05303868217178,False,False,False,False,False,False
2023-03-14,151.82,BUY,2023.0,151.27999877929688,153.39999389648438,150.10000610351562,152.58999633789062,151.57424926757812,73695900,151.00399780273438,150.31600036621094,150.6164544807209,56.69577761662612,1.3130239736701697,1.4889594673501516,156.07270760038023,150.31600036621094,144.55929313204166,2.936427525111607,5.17999267578125,0.0351400349168618,-29.919386892463763,False,False,False,False,False,False
2023-03-28,157.65,SELL,2023.0,157.97000122070312,158.49000549316406,155.97999572753906,157.64999389648438,156.60057067871094,45992200,158.58799743652344,153.80799942016603,157.02861454775754,60.24870771445397,2.8118166827764526,2.512105232368935,162.59793095301708,153.80799942016603,145.01806788731497,3.5442886352539062,5.05999755859375,0.033160742381755134,-30.901623333662382,False,False,True,False,False,False
2023-03-31,163.02,BUY,2023.0,162.44000244140625,165.0,161.91000366210938,164.89999389648438,163.80230712890625,68749800,160.79199829101563,156.09699935913085,159.70824894158733,79.7771071666526,3.454794264868468,2.8552831740511886,164.85737979367318,156.09699935913085,147.33661892458852,3.0378592354910716,9.899993896484375,0.06387092836441532,-0.6631703671923932,False,False,False,False,False,False
2023-04-12,160.22,SHORT,2023.0,161.22000122070312,162.05999755859375,159.77999877929688,160.10000610351562,159.03428649902344,50133100,162.27000122070314,160.23199996948242,161.79491640067607,55.301266385722755,2.831539958591577,3.2949178488740767,167.5232931580713,160.23199996948242,152.94070678089352,2.4178575788225447,2.45001220703125,0.015540832869552592,-62.06252169038149,False,False,False,False,False,False
2023-04-14,165.21,BUY,2023.0,164.58999633789062,166.32000732421875,163.82000732421875,165.2100067138672,164.11026000976562,49386500,162.74000244140626,161.3284996032715,162.97593662987208,60.00001230547353,2.973185496578651,3.17465432106823,167.9775607796075,161.3284996032715,154.6794384269355,2.455000741141183,2.850006103515625,0.01755362215325046,-15.00911171652937,False,False,False,False,False,False
2023-04-21,165.02,SELL,2023.0,165.0500030517578,166.4499969482422,164.49000549316406,165.02000427246094,163.92152404785156,58337300,166.2,163.4565002441406,164.99220520308955,50.30032633042846,2.897617310214713,3.0655682115479417,169.35153437694362,163.4565002441406,157.5614661113376,2.355715070452009,0.3600006103515625,0.0021863269910421105,-37.470137948112864,False,False,False,True,False,True
2023-04-28,169.1,BUY,2023.0,168.49000549316406,169.85000610351562,167.8800048828125,169.67999267578125,168.5504913330078,55209200,166.18999938964845,165.03850021362305,166.10879884743403,68.59504745288464,2.556557537274898,2.6534235425070634,169.68995972102107,165.03850021362305,160.38704070622504,2.366430010114397,4.4699859619140625,0.027056387508389748,-1.6883148369265455,False,False,False,False,False,False
2023-05-02,168.54,SELL,2023.0,170.08999633789062,170.35000610351562,167.5399932861328,168.5399932861328,167.4180908203125,48425700,167.99599609375,165.39150009155273,167.0686982894141,71.33466687135164,2.6473903497844162,2.6551128467367446,170.66219922952737,165.39150009155273,160.12080095357808,2.401430402483259,2.0699920654296875,0.012434625159192057,-21.151759914834653,False,True,False,False,False,True
2023-05-08,173.11,BUY,2023.0,172.47999572753906,173.85000610351562,172.11000061035156,173.5,172.34506225585938,55962800,169.7699981689453,166.60299987792968,169.0874987374783,65.07934429835184,2.8955278135279627,2.6316638707697453,173.48669731408924,166.60299987792968,159.7193024417701,2.527858189174107,8.169998168945312,0.04941630725495283,-6.956548276154892,False,False,False,False,False,False
2023-05-23,172.5,SELL,2023.0,173.1300048828125,173.3800048828125,171.27999877929688,171.55999755859375,170.65371704101562,50747300,173.73200073242188,171.23700027465821,172.81029159709848,59.51829180810546,2.5279536517663814,2.7983352500505356,177.5108853219146,171.23700027465821,164.96311522740183,2.1871435982840404,-0.2100067138671875,-0.0012226041138945053,-39.98345280575994,False,False,False,False,False,False
2023-06-01,178.34,BUY,2023.0,177.6999969482422,180.1199951171875,176.92999267578125,180.08999633789062,179.1386260986328,68901800,176.61199951171875,173.61050109863282,175.551621221843,68.64704805261948,2.8119818510342043,2.5658947721583347,179.3405236057547,173.61050109863282,167.88047859151095,2.220715114048549,7.399993896484375,0.04285131618430079,-0.3092658632465994,False,False,False,False,False,False
2023-06-05,179.87,SELL,2023.0,182.6300048828125,184.9499969482422,178.0399932861328,179.5800018310547,178.63133239746094,121946500,179.03399963378905,174.66900100708008,177.08711821752763,71.39599202543653,3.130007137085215,2.7595663330279745,180.50699300475918,174.66900100708008,168.831009009401,2.5514297485351562,4.4199981689453125,0.025234060724682702,-36.95798739390783,False,False,False,False,False,False
2023-06-08,180.57,BUY,2023.0,177.89999389648438,180.83999633789065,177.4600067138672,180.57000732421875,179.61610412597656,50214900,179.62600402832032,175.60750198364258,178.0877787309394,64.46541861300179,3.0089642955641693,2.884819166881592,182.0743461443943,175.60750198364258,169.14065782289086,2.7978581019810287,8.730010986328125,0.05080313764184574,-30.353373854268444,False,False,False,False,True,False
2023-06-21,184.23,SELL,2023.0,184.8999938964844,185.41000366210935,182.58999633789065,183.9600067138672,182.9881896972656,49515700,184.7699981689453,179.825,183.0706555685461,68.42401628279354,3.5379722897505133,3.4328434785709074,188.67253867710363,179.825,170.97746132289635,2.9392852783203147,4.75,0.026505216349799104,-30.11923378528231,False,False,False,False,False,False
2023-06-27,187.66,BUY,2023.0,185.88999938964844,188.38999938964844,185.6699981689453,188.05999755859372,187.0665283203125,50730800,186.19400024414062,182.58450012207032,185.13558506521883,71.76590412528878,3.5575230078686673,3.5139696179868007,189.3491009754719,182.58450012207032,175.81989926866873,2.6649998256138394,4.270004272460909,0.023233061801211166,-2.981048487697419,False,False,False,False,False,False
2023-07-05,191.33,SELL,2023.0,191.57000732421875,192.97999572753903,190.6199951171875,191.3300018310547,190.31927490234372,46920300,191.32000122070312,185.65600051879883,189.20550597127112,69.05897924032261,4.161518937207262,3.863588077482055,194.2585441419354,185.65600051879883,177.05345689566226,2.495716639927449,6.320007324218722,0.03416035626110568,-25.280867228849925,False,False,False,False,False,False
2023-07-17,192.59,BUY,2023.0,191.8999938964844,194.32000732421875,191.80999755859372,193.9900054931641,192.9652099609375,50520200,190.61400146484374,189.08349990844727,190.58013685341194,70.31687952662196,2.9803146035878285,3.2693824569543475,195.0121515295696,189.08349990844727,183.15484828732494,2.389286586216516,0.02000427246096592,0.000103130753905624,-5.561752215208977,False,False,False,False,False,False
2023-07-21,192.43,SELL,2023.0,194.1000061035156,194.97000122070312,191.22999572753903,191.94000244140625,190.92605590820312,71917800,193.5780029296875,190.7340003967285,192.07050472483033,44.21653372840949,2.8519825765511087,3.1144368179667863,195.97105496305946,190.7340003967285,185.49694583039755,2.8057163783482104,1.260009765625,0.006607980983969469,-54.08425535599694,False,False,False,False,False,False
2023-07-25,193.62,BUY,2023.0,193.3300018310547,194.44000244140625,192.9199981689453,193.6199951171875,192.59716796875,37283200,193.30800170898436,191.4550003051758,192.4533121924742,56.90172298189089,2.6578508371017335,2.9602672200748508,195.70961236221945,191.4550003051758,187.20038824813213,2.78428758893694,5.5399932861328125,0.029455514845800477,-39.63890561715469,False,False,False,False,True,False
2023-08-02,192.58,SHORT,2023.0,195.0399932861328,195.17999267578125,191.8500061035156,192.5800018310547,191.56265258789065,50389300,194.73800048828124,192.63150024414062,193.96755386730769,55.31805546937027,2.311868611941719,2.6389504753411823,197.35747507475216,192.63150024414062,187.9055254135291,2.7792859758649535,-2.520004272460909,-0.012916474595720168,-65.69767338704658,False,False,False,False,False,False
2023-08-23,179.16,BUY,2023.0,178.52000427246094,181.5500030517578,178.3300018310547,181.1199951171875,180.406494140625,52722800,176.53599853515624,182.78050079345704,178.48487657827908,32.98340962724238,-3.282317332038531,-3.0501384611933617,198.65361068696117,182.78050079345704,166.9073908999529,3.1521410260881675,2.92999267578125,0.0164430811809698,-40.596695907734784,False,False,False,False,False,False
2023-09-06,187.07,SELL,2023.0,188.3999938964844,188.8500061035156,181.47000122070312,182.91000366210935,182.18942260742188,81755800,187.51799926757812,180.35,184.37236476911409,59.177765447435284,0.41191544359475074,-0.9110863397948553,190.24990961316428,180.35,170.4500903868357,3.3007125854492125,5.680007934570284,0.032048795754090795,-39.23416412776752,False,False,False,False,False,False
2023-09-18,177.11,BUY,2023.0,176.47999572753906,179.3800048828125,176.1699981689453,177.97000122070312,177.26890563964844,67257600,175.84600219726562,180.270499420166,178.11926683600774,46.71791729756167,-1.870614089865029,-1.3888532034510241,190.25347152842173,180.270499420166,170.28752731191028,3.4757167271205316,-11.490005493164062,-0.060646073503612265,-73.0534837183918,False,False,False,False,False,False
2023-09-21,173.93,SHORT,2023.0,174.5500030517578,176.3000030517578,173.86000061035156,173.92999267578125,173.2447967529297,63047900,176.29400024414062,179.98550033569336,177.0821683134174,28.474386656726637,-2.0108576971266814,-1.618992060680271,190.31338699991153,179.98550033569336,169.6576136714752,3.410717555454795,-3.6300048828125,-0.02044382142782256,-97.62774129116809,False,False,False,True,False,False
2023-10-05,174.42,BUY,2023.0,173.7899932861328,175.4499969482422,172.67999267578125,174.91000366210938,174.22096252441406,48527900,173.18600158691407,174.7570007324219,173.67539232704024,49.79323705641255,-2.0868569869428484,-2.3144293756877974,180.02811489326996,174.7570007324219,169.48588657157381,3.2257167271205356,0.980010986328125,0.005634514043560849,-39.65225629203903,False,False,False,False,False,False
2023-10-19,175.46,SELL,2023.0,176.0399932861328,177.83999633789062,175.19000244140625,175.4600067138672,174.768798828125,59302900,177.2040008544922,175.56400146484376,176.99015059323582,61.394086961075,-0.1091022295000812,-0.3561466339860977,181.91345037685875,175.56400146484376,169.21455255282876,3.0478591918945335,0.5500030517578125,0.00314449168282168,-59.7221891084992,False,True,False,True,False,True
2023-10-24,173.44,BUY,2023.0,173.0500030517578,173.6699981689453,171.4499969482422,173.44000244140625,172.75674438476562,43816600,174.1240020751953,175.38850173950195,175.25083483418848,49.33893922165572,-0.79500698265133,-0.500501980042948,181.80095375101672,175.38850173950195,168.97604972798717,3.0235726492745556,-4.9499969482421875,-0.02774817515095201,-71.71628743074535,False,False,True,False,False,False
2023-10-26,169.75,SHORT,2023.0,170.3699951171875,171.3800048828125,165.6699981689453,166.88999938964844,166.2325439453125,70625300,171.46200256347657,175.23200225830078,173.1132042810315,22.623973618710295,-1.6298507617752591,-0.8193652072671547,182.32211407196465,175.23200225830078,168.1418904446369,3.062143598284042,-13.82000732421875,-0.07647615965230464,-92.68145558062584,False,False,False,False,False,False
2023-10-30,169.63,BUY,2023.0,169.02000427246094,171.1699981689453,168.8699951171875,170.2899932861328,169.619140625,51131000,169.98800048828124,174.9095016479492,171.87197868620765,30.396890929958772,-1.9862496837121455,-1.2311851166739751,182.74893913816678,174.9095016479492,167.07006415773165,3.0200010027204263,-8.430007934570312,-0.04716879966982549,-72.28556913824909,False,False,False,False,False,False
2023-11-24,189.97,SELL,2023.0,190.8699951171875,190.8999938964844,189.25,189.97000122070312,189.47091674804688,24048300,190.61199951171875,182.6620002746582,188.26132121068582,80.52250568883498,4.0976307959725204,3.3039829748171754,197.82009566179855,182.6620002746582,167.50390488751785,2.2092841012137234,7.559997558593778,0.041445081995599785,-17.703313039978607,False,False,False,False,False,False
2023-12-01,191.24,BUY,2023.0,190.3300018310547,191.55999755859372,189.22999572753903,191.2400054931641,190.73757934570312,45679300,190.1499969482422,187.15849914550782,189.5265764397996,66.35138715766959,3.4962541723043614,3.5483926896255094,195.92289679452443,187.15849914550782,178.3941014964912,2.0042855398995476,1.5299987792969034,0.008064934506088263,-19.380618156937974,False,False,False,False,False,False
2023-12-18,195.89,SELL,2023.0,196.08999633789065,196.6300048828125,194.38999938964844,195.88999938964844,195.37535095214844,55751900,196.84800415039064,192.83450012207032,195.19541308417215,62.00261407208767,3.587345472415791,3.573223120881371,198.7701313914733,192.83450012207032,186.89886885266733,2.5785718645368427,6.4600067138671875,0.03410234368178331,-30.649106727534658,False,False,True,False,False,True
2024-01-08,185.56,BUY,2024.0,182.08999633789065,185.6000061035156,181.5,185.55999755859372,185.07249450683597,59144500,183.70799865722654,192.2015007019043,187.39861695188557,24.90597967962303,-1.4852185132562,0.2621054082701099,202.9515118942453,192.2015007019043,181.45148950956332,2.5500008719308034,-9.119995117187528,-0.046846083112279065,-69.21758377740129,False,False,False,False,True,False
2024-01-25,194.17,SHORT,2024.0,195.22000122070312,196.2700042724609,193.1100006103516,194.1699981689453,193.65988159179688,54822100,193.85999755859376,188.2439987182617,191.09258649644465,75.2678933646981,0.8767405497337393,-0.25147447811158585,197.8114723230232,188.2439987182617,178.67652511350022,2.7971431187221003,7.9799957275390625,0.04285942114453947,-13.633595302441122,False,False,False,False,False,False
2024-02-01,186.39,BUY,2024.0,183.9900054931641,186.9499969482422,183.82000732421875,186.8600006103516,186.3690948486328,64885400,188.68999633789062,187.95899810791016,189.12752213596184,52.16650241740553,-0.13758919998923602,0.1601968556731299,196.97190519251524,187.95899810791016,178.9460910233051,2.842141287667409,-1.770004272460909,-0.009383471487267016,-59.20399992788118,False,False,False,False,False,False
2024-02-08,188.7,SELL,2024.0,189.38999938964844,189.5399932861328,187.3500061035156,188.32000732421875,187.82525634765625,40962000,188.11200256347655,188.98799896240234,188.63252348172978,42.806412488904925,-0.2842782543884823,-0.17084509456691768,196.58107989434035,188.98799896240234,181.39491803046434,3.178570338657916,-5.8499908447265625,-0.030128191275134823,-47.051927969272214,False,False,False,False,False,False
2024-02-21,182.32,BUY,2024.0,181.94000244140625,182.88999938964844,180.66000366210935,182.32000732421875,182.07305908203125,41529700,182.83999938964843,187.3959991455078,184.5120146624841,43.772499844671046,-1.753277648431208,-1.0644297475068394,195.03963165995071,187.3959991455078,179.7523666310649,3.0307137625558056,-6.9799957275390625,-0.03687266568944858,-73.9829955064171,False,False,False,False,True,False
2024-02-26,181.58,SHORT,2024.0,182.2400054931641,182.75999450683597,180.6499938964844,181.16000366210935,180.9146270751953,40867400,182.38600158691406,185.74399948120117,183.58894036822912,30.432210142604504,-1.8711738952007408,-1.4102308859162977,191.78181821787865,185.74399948120117,179.7061807445237,2.516428266252796,-7.69000244140625,-0.04072015987752247,-89.50223220142173,False,False,False,False,False,False
2024-03-12,173.23,BUY,2024.0,173.14999389648438,174.02999877929688,171.00999450683594,173.22999572753906,172.99534606933594,59825400,170.96599731445312,178.58999938964843,174.16817251731712,31.51683897714534,-4.169569472692871,-3.551343453198769,189.94684617559366,178.58999938964843,167.2331526037032,2.9571424211774575,-9.400009155273438,-0.0514702343752611,-71.35955449834965,False,False,True,False,False,False
2024-03-26,169.71,SHORT,2024.0,170.0,171.4199981689453,169.5800018310547,169.7100067138672,169.48013305664062,57388400,172.5760009765625,173.56549987792968,172.62281742634224,51.15552678717113,-2.75226432398091,-2.948128800966516,181.2755445875054,173.56549987792968,165.85545516835396,3.192144121442522,-3.519989013671875,-0.02031974311890079,-88.01569647878458,False,False,False,True,False,True
2024-04-03,169.65,BUY,2024.0,168.7899932861328,170.67999267578125,168.5800018310547,169.64999389648438,169.42019653320312,47691700,170.66199645996093,171.87849884033204,171.14617416384894,47.35334149027552,-2.570089912394309,-2.6714947460284244,176.80618375340973,171.87849884033204,166.95081392725436,2.8642872401646207,-6.4300079345703125,-0.036517536731626,-86.3984881525177,True,False,False,False,False,False
2024-04-16,171.13,SELL,2024.0,171.75,173.75999450683594,168.27000427246094,169.3800048828125,169.15057373046875,73711200,172.28800048828126,171.51149978637696,171.42563372670944,49.461660585549595,-1.1794395456751658,-1.7937716459909583,177.56169693847286,171.51149978637696,165.46130263428105,2.890712193080357,0.540008544921875,0.003198344922024188,-79.82218424479167,False,False,False,False,False,False
2024-04-23,166.44,BUY,2024.0,165.35000610351562,167.0500030517578,164.9199981689453,166.89999389648438,166.67391967773438,49537800,166.55599670410157,169.68799896240233,168.27393752160188,45.09803708240946,-2.0413488609789567,-1.8340569938353173,175.5345124848243,169.68799896240233,163.84148543998037,2.9971389770507812,-2.7700042724609375,-0.0163258342803939,-80.25215471644081,False,False,False,False,False,False
2024-04-26,169.3,SELL,2024.0,169.8800048828125,171.33999633789062,169.17999267578125,169.3000030517578,169.0706787109375,44838400,168.18999938964845,169.3734992980957,168.7917068092128,51.47008992708928,-1.4683193805331314,-1.7302405080650243,174.89268921381134,169.3734992980957,163.85430938238008,3.1549976893833707,-7.25,-0.041064853439139126,-63.44536647810449,False,False,False,True,False,False
2024-05-02,173.03,BUY,2024.0,172.50999450683594,173.4199981689453,170.88999938964844,173.02999877929688,172.79562377929688,94214900,171.09200134277344,169.81449966430665,170.29401782906913,43.96432497884647,-0.5070279318818507,-1.1567158136566575,175.81488862581227,169.81449966430665,163.81411070280103,3.0757130214146207,5.9900054931640625,0.03585970865613855,-28.685300622388226,False,False,True,False,True,False
