Ticker,Price,Date of Last Failure,Current Price
FITB,35.82,2022-08-25,35.82
FDX,205.6,2022-09-09,205.6
FIS,95.56,2022-08-25,95.56
FSLR,135.82,2022-09-09,135.82
F,14.31,2022-09-07,14.31
FI,108.99,2022-08-15,108.99
FTNT,50.87,2022-08-25,50.87
FOXA,33.25,2022-08-02,33.25
FMC,112.89,2022-08-18,112.89
FOX,32.3,2022-09-12,32.3
BEN,29.02,2022-08-12,29.02
GRMN,98.55,2022-08-08,98.55
IT,292.07,2022-10-27,292.07
GEV,166.76,2024-07-22,166.76
GEHC,77.14,2023-03-14,77.14
GD,235.74,2022-08-25,235.74
GM,39.52,2022-08-25,39.52
GILD,65.28,2022-09-09,65.28
GDDY,80.66,2022-08-25,80.66
HIG,67.46,2022-08-25,67.46
HAS,77.91,2022-08-05,77.91
DOC,28.17,2022-08-12,28.17
HES,123.5,2022-08-30,123.5
HSIC,72.04,2022-09-19,72.04
HCA,218.29,2022-08-12,218.29
HLT,134.84,2022-08-25,134.84
HD,313.54,2022-08-12,313.54
HWM,36.94,2022-08-24,36.94
HPQ,33.96,2022-08-11,33.96
HBAN,13.84,2022-08-25,13.84
HUM,495.06,2022-10-12,495.06
HII,229.98,2022-09-07,229.98
INCY,71.41,2022-09-07,71.41
IEX,210.51,2022-08-04,210.51
PODD,260.85,2022-08-03,260.85
ICE,109.6,2022-08-15,109.6
INTC,35.93,2022-08-12,35.93
INTU,446.63,2022-08-22,446.63
ISRG,219.1,2022-08-24,219.1
IRM,55.07,2022-08-25,55.07
JKHY,209.56,2022-08-15,209.56
J,119.85,2022-09-19,119.85
JCI,56.08,2022-08-25,56.08
JNJ,166.84,2022-08-16,166.84
JPM,118.06,2022-08-25,118.06
JNPR,29.22,2022-08-22,29.22
KDP,39.11,2022-08-09,39.11
KVUE,23.74,2023-08-02,23.74
KIM,21.4,2022-09-07,21.4
KHC,37.03,2022-08-04,37.03
KLAC,376.2,2022-08-12,376.2
LHX,235.1,2022-08-25,235.1
LDOS,100.41,2022-08-15,100.41
LLY,307.5,2022-09-26,307.5
LIN,308.93,2022-08-10,308.93
LULU,316.4,2022-08-04,316.4
L,57.41,2022-08-22,57.41
LYB,78.45,2022-10-13,78.45
MTB,175.33,2022-08-02,175.33
MLM,359.88,2022-08-25,359.88
MA,352.38,2022-08-03,352.38
MTCH,67.8,2022-08-12,67.8
MCD,262.56,2022-08-25,262.56
MCHP,69.43,2022-08-25,69.43
MRNA,187.61,2022-08-04,187.61
MSFT,278.25,2022-08-25,278.25
MAA,178.36,2022-08-25,178.36
MSI,245.0,2022-09-07,245.0
NFLX,231.5,2022-08-25,231.5
NTAP,74.18,2022-08-12,74.18
NWS,18.87,2022-08-11,18.87
NEE,89.28,2022-08-25,89.28
NRG,38.65,2022-08-04,38.65
NOC,482.4,2022-09-12,482.4
OXY,63.09,2022-08-17,63.09
NVR,4330.0,2022-08-09,4330.0
ODFL,135.32,2022-09-12,135.32
OKE,63.39,2022-08-16,63.39
PARA,25.19,2022-08-25,25.19
OTIS,81.46,2022-08-12,81.46
PANW,174.23,2022-08-15,174.23
PKG,136.37,2022-08-05,136.37
PAYX,120.52,2022-09-19,120.52
PEP,179.27,2022-08-25,179.27
PYPL,87.56,2022-09-30,87.56
PNC,162.24,2022-09-13,162.24
PM,96.2,2022-09-01,96.2
PGR,126.43,2022-08-25,126.43
PFG,77.59,2022-08-25,77.59
PHM,41.57,2022-08-24,41.57
RL,99.58,2022-08-16,99.58
QRVO,104.58,2022-08-03,104.58
PWR,144.5,2022-12-21,144.5
REG,54.89,2022-10-17,54.89
O,73.26,2022-08-08,73.26
RTX,87.74,2022-09-09,87.74
RF,20.94,2022-10-06,20.94
RSG,141.06,2022-10-04,141.06
SPGI,376.96,2022-08-25,376.96
STX,81.69,2022-08-11,81.69
SPG,108.24,2022-08-25,108.24
NOW,506.51,2022-08-12,506.51
CRM,177.4,2022-08-24,177.4
SHW,243.85,2022-08-25,243.85
SOLV,56.71,2024-06-10,56.71
SNA,222.48,2022-08-02,222.48
SBUX,88.56,2022-08-15,88.56
SMCI,68.49,2022-08-22,68.49
SYF,35.67,2022-08-15,35.67
SYY,86.74,2022-08-08,86.74
TROW,131.92,2022-08-12,131.92
TTWO,128.07,2022-08-03,128.07
TPR,35.78,2022-08-22,35.78
TRGP,69.68,2022-08-18,69.68
TFX,249.57,2022-08-09,249.57
TEL,114.28,2022-09-28,114.28
TDY,401.68,2022-08-15,401.68
TSLA,297.36,2022-08-12,297.36
TXT,59.74,2022-09-28,59.74
TJX,63.07,2022-08-09,63.07
TFC,50.78,2022-08-10,50.78
TRV,163.81,2022-09-07,163.81
TRMB,71.04,2022-08-12,71.04
TYL,415.43,2022-08-15,415.43
USB,47.87,2022-08-10,47.87
UPS,196.29,2022-09-07,196.29
URI,332.22,2022-08-11,332.22
VLTO,77.51,2024-01-08,77.51
VTRS,9.81,2022-09-09,9.81
VST,25.62,2022-08-04,25.62
WMT,45.2,2022-08-22,45.2
VICI,34.68,2022-08-09,34.68
DIS,117.46,2022-08-25,117.46
WFC,44.95,2022-08-25,44.95
WAT,333.1,2022-08-12,333.1
WELL,76.78,2022-09-07,76.78
WDC,46.95,2022-08-25,46.95
WTW,207.19,2022-09-07,207.19
WMB,33.22,2022-09-12,33.22
WY,34.62,2022-08-24,34.62
ZTS,175.67,2022-08-12,175.67
XYL,96.94,2022-08-25,96.94
ZBH,115.9,2022-08-12,115.9
